LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.37290048964195754
Amygdala;DICE;STD;0.07191009627269501
Amygdala;HDRFDST;MEAN;18.584873631809906
Amygdala;HDRFDST;STD;4.593742710433057
GreyMatter;DICE;MEAN;0.3858666745661013
GreyMatter;DICE;STD;0.018138633466568566
GreyMatter;HDRFDST;MEAN;5.410924508806079
GreyMatter;HDRFDST;STD;1.4566729076912535
Hippocampus;DICE;MEAN;0.2441964921084918
Hippocampus;DICE;STD;0.018617251662036254
Hippocampus;HDRFDST;MEAN;22.308032246326995
Hippocampus;HDRFDST;STD;3.041660286231034
Thalamus;DICE;MEAN;0.6414387310092092
Thalamus;DICE;STD;0.04089848231686067
Thalamus;HDRFDST;MEAN;24.576771100945262
Thalamus;HDRFDST;STD;15.696570397757018
WhiteMatter;DICE;MEAN;0.6455120525644032
WhiteMatter;DICE;STD;0.06452295447598422
WhiteMatter;HDRFDST;MEAN;4.939545737870192
WhiteMatter;HDRFDST;STD;0.7077343452796498
