LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.3676518129602069
Amygdala;DICE;STD;0.038597445664104335
Amygdala;HDRFDST;MEAN;17.45233394403153
Amygdala;HDRFDST;STD;0.7183591761820556
GreyMatter;DICE;MEAN;0.39455843637500815
GreyMatter;DICE;STD;0.01904453590466014
GreyMatter;HDRFDST;MEAN;5.044405131202165
GreyMatter;HDRFDST;STD;0.9241086907400344
Hippocampus;DICE;MEAN;0.24187878150198766
Hippocampus;DICE;STD;0.024386309980952415
Hippocampus;HDRFDST;MEAN;20.426850787886988
Hippocampus;HDRFDST;STD;1.6259664478090343
Thalamus;DICE;MEAN;0.6645988254839175
Thalamus;DICE;STD;0.027118025361795604
Thalamus;HDRFDST;MEAN;21.04286845949332
Thalamus;HDRFDST;STD;1.7313829722106877
WhiteMatter;DICE;MEAN;0.6541944104929935
WhiteMatter;DICE;STD;0.02507079929403419
WhiteMatter;HDRFDST;MEAN;5.531899655559572
WhiteMatter;HDRFDST;STD;0.3131871657968713
