LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.39087065382731373
Amygdala;DICE;STD;0.0327615999366252
Amygdala;HDRFDST;MEAN;17.463679125056593
Amygdala;HDRFDST;STD;2.4124492568886535
GreyMatter;DICE;MEAN;0.3964595291968759
GreyMatter;DICE;STD;0.019415742392712963
GreyMatter;HDRFDST;MEAN;4.801835223042775
GreyMatter;HDRFDST;STD;0.6651153965634377
Hippocampus;DICE;MEAN;0.25835462154358574
Hippocampus;DICE;STD;0.009123627511125738
Hippocampus;HDRFDST;MEAN;20.35357926018676
Hippocampus;HDRFDST;STD;1.1540412901171673
Thalamus;DICE;MEAN;0.6059785083742083
Thalamus;DICE;STD;0.025389361330460165
Thalamus;HDRFDST;MEAN;41.40524468524609
Thalamus;HDRFDST;STD;0.6369556930435181
WhiteMatter;DICE;MEAN;0.6778489101466783
WhiteMatter;DICE;STD;0.02544412772246101
WhiteMatter;HDRFDST;MEAN;4.011470475564787
WhiteMatter;HDRFDST;STD;0.32879267581870936
