LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4181539002555013
Amygdala;DICE;STD;0.04130003992267047
Amygdala;HDRFDST;MEAN;17.246639697948417
Amygdala;HDRFDST;STD;2.270114342747901
GreyMatter;DICE;MEAN;0.42499088829279064
GreyMatter;DICE;STD;0.02056417355739375
GreyMatter;HDRFDST;MEAN;3.0614659150539936
GreyMatter;HDRFDST;STD;0.16560933235362088
Hippocampus;DICE;MEAN;0.28405470210789124
Hippocampus;DICE;STD;0.01875766170010802
Hippocampus;HDRFDST;MEAN;28.366794348842966
Hippocampus;HDRFDST;STD;2.1965833402014807
Thalamus;DICE;MEAN;0.6515057879272816
Thalamus;DICE;STD;0.021618787953722112
Thalamus;HDRFDST;MEAN;23.264402341486665
Thalamus;HDRFDST;STD;1.2913495628333338
WhiteMatter;DICE;MEAN;0.6138836150504263
WhiteMatter;DICE;STD;0.038220621636582935
WhiteMatter;HDRFDST;MEAN;5.912025703708362
WhiteMatter;HDRFDST;STD;0.384645393436155
