LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.06465981861633206
Amygdala;DICE;STD;0.007877287638592972
Amygdala;HDRFDST;MEAN;77.20670603843794
Amygdala;HDRFDST;STD;1.2347237319468045
GreyMatter;DICE;MEAN;0.3691049537758775
GreyMatter;DICE;STD;0.018142853041754593
GreyMatter;HDRFDST;MEAN;7.437933556649094
GreyMatter;HDRFDST;STD;0.822887845865631
Hippocampus;DICE;MEAN;0.1093349319733354
Hippocampus;DICE;STD;0.007245625189460517
Hippocampus;HDRFDST;MEAN;33.89581111041664
Hippocampus;HDRFDST;STD;1.4401351210758562
Thalamus;DICE;MEAN;0.1954683259078424
Thalamus;DICE;STD;0.01247797901475901
Thalamus;HDRFDST;MEAN;47.67151961794795
Thalamus;HDRFDST;STD;0.9089649694036357
WhiteMatter;DICE;MEAN;0.6817336524054214
WhiteMatter;DICE;STD;0.03161657665958059
WhiteMatter;HDRFDST;MEAN;8.19107942665765
WhiteMatter;HDRFDST;STD;0.3259107641453221
