LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.3685446873406865
Amygdala;DICE;STD;0.04138008167893915
Amygdala;HDRFDST;MEAN;15.815994648610545
Amygdala;HDRFDST;STD;0.9242906875667796
GreyMatter;DICE;MEAN;0.4015803672054791
GreyMatter;DICE;STD;0.018896064119900236
GreyMatter;HDRFDST;MEAN;4.601702868591206
GreyMatter;HDRFDST;STD;0.5695004031600538
Hippocampus;DICE;MEAN;0.26158456201554897
Hippocampus;DICE;STD;0.012789082222365198
Hippocampus;HDRFDST;MEAN;20.650737236982028
Hippocampus;HDRFDST;STD;0.8643214501121417
Thalamus;DICE;MEAN;0.6427752176801168
Thalamus;DICE;STD;0.0243117678634137
Thalamus;HDRFDST;MEAN;39.27138806083384
Thalamus;HDRFDST;STD;2.3575580110354504
WhiteMatter;DICE;MEAN;0.6715626393845
WhiteMatter;DICE;STD;0.033348383499439464
WhiteMatter;HDRFDST;MEAN;4.240162416505205
WhiteMatter;HDRFDST;STD;0.3478831436800817
