LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.43078095519982595
Amygdala;DICE;STD;0.03321652929122974
Amygdala;HDRFDST;MEAN;14.792565612710215
Amygdala;HDRFDST;STD;1.5099677459016208
GreyMatter;DICE;MEAN;0.4099081185986654
GreyMatter;DICE;STD;0.019399032452661932
GreyMatter;HDRFDST;MEAN;3.699449842981642
GreyMatter;HDRFDST;STD;0.33774377753424895
Hippocampus;DICE;MEAN;0.3978755921223295
Hippocampus;DICE;STD;0.016387938375046218
Hippocampus;HDRFDST;MEAN;14.8054618435112
Hippocampus;HDRFDST;STD;1.9744112034563517
Thalamus;DICE;MEAN;0.661370747091791
Thalamus;DICE;STD;0.027041411458696086
Thalamus;HDRFDST;MEAN;41.92657402539997
Thalamus;HDRFDST;STD;1.030723286171708
WhiteMatter;DICE;MEAN;0.6805584100374371
WhiteMatter;DICE;STD;0.02537077530522068
WhiteMatter;HDRFDST;MEAN;4.049615299449159
WhiteMatter;HDRFDST;STD;0.31720013629773913
