LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.3865325625532299
Amygdala;DICE;STD;0.06399569169077117
Amygdala;HDRFDST;MEAN;15.804833476528518
Amygdala;HDRFDST;STD;3.925205571585204
GreyMatter;DICE;MEAN;0.3975507098977849
GreyMatter;DICE;STD;0.017644898850418592
GreyMatter;HDRFDST;MEAN;4.603191856254026
GreyMatter;HDRFDST;STD;1.4179649976345052
Hippocampus;DICE;MEAN;0.3720068914821884
Hippocampus;DICE;STD;0.03126396429422177
Hippocampus;HDRFDST;MEAN;20.28205511580955
Hippocampus;HDRFDST;STD;6.327577757662386
Thalamus;DICE;MEAN;0.6644399583641128
Thalamus;DICE;STD;0.037941183804638144
Thalamus;HDRFDST;MEAN;32.378839991904485
Thalamus;HDRFDST;STD;10.469513874991856
WhiteMatter;DICE;MEAN;0.6548185936955246
WhiteMatter;DICE;STD;0.07238407640720244
WhiteMatter;HDRFDST;MEAN;4.832438932624994
WhiteMatter;HDRFDST;STD;0.8646004640585221
