LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.3875811002401323
Amygdala;DICE;STD;0.037999592238429684
Amygdala;HDRFDST;MEAN;13.89180288110774
Amygdala;HDRFDST;STD;1.1907194096203615
GreyMatter;DICE;MEAN;0.41499720940995743
GreyMatter;DICE;STD;0.018398495208747447
GreyMatter;HDRFDST;MEAN;3.5633981206646355
GreyMatter;HDRFDST;STD;0.3196777027628709
Hippocampus;DICE;MEAN;0.3994387735791106
Hippocampus;DICE;STD;0.01920615293261404
Hippocampus;HDRFDST;MEAN;14.153143663922728
Hippocampus;HDRFDST;STD;1.2603667832674452
Thalamus;DICE;MEAN;0.6769951204164106
Thalamus;DICE;STD;0.028273327331062317
Thalamus;HDRFDST;MEAN;20.870481044193887
Thalamus;HDRFDST;STD;1.457059018689242
WhiteMatter;DICE;MEAN;0.6734213528671503
WhiteMatter;DICE;STD;0.03336679287509861
WhiteMatter;HDRFDST;MEAN;4.173362066411495
WhiteMatter;HDRFDST;STD;0.4278423338539303
