LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.37759656936256986
Amygdala;DICE;STD;0.030666402852319093
Amygdala;HDRFDST;MEAN;13.959390948646725
Amygdala;HDRFDST;STD;0.8575571950837141
GreyMatter;DICE;MEAN;0.4051515467717558
GreyMatter;DICE;STD;0.01836272016045094
GreyMatter;HDRFDST;MEAN;3.9992624907475447
GreyMatter;HDRFDST;STD;0.5530818475594241
Hippocampus;DICE;MEAN;0.3795261280039172
Hippocampus;DICE;STD;0.0234901348341777
Hippocampus;HDRFDST;MEAN;14.535055518607194
Hippocampus;HDRFDST;STD;0.9654848890617374
Thalamus;DICE;MEAN;0.6798254355370191
Thalamus;DICE;STD;0.03171852135067256
Thalamus;HDRFDST;MEAN;20.582600577871347
Thalamus;HDRFDST;STD;6.336919871026467
WhiteMatter;DICE;MEAN;0.6599844461611779
WhiteMatter;DICE;STD;0.02717705298823267
WhiteMatter;HDRFDST;MEAN;5.186768846021554
WhiteMatter;HDRFDST;STD;0.31213608881420846
