LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4225572832199541
Amygdala;DICE;STD;0.07582175353182599
Amygdala;HDRFDST;MEAN;16.055293333017538
Amygdala;HDRFDST;STD;8.211428377009852
GreyMatter;DICE;MEAN;0.3983868046941125
GreyMatter;DICE;STD;0.01666364500814741
GreyMatter;HDRFDST;MEAN;4.396446873693433
GreyMatter;HDRFDST;STD;1.2129529614915973
Hippocampus;DICE;MEAN;0.371379611161757
Hippocampus;DICE;STD;0.0301427849758795
Hippocampus;HDRFDST;MEAN;14.450561254307251
Hippocampus;HDRFDST;STD;1.7266381889423241
Thalamus;DICE;MEAN;0.67315020721469
Thalamus;DICE;STD;0.030873142524930387
Thalamus;HDRFDST;MEAN;30.65949571897579
Thalamus;HDRFDST;STD;11.47150043621605
WhiteMatter;DICE;MEAN;0.6596916406725062
WhiteMatter;DICE;STD;0.06255789758800087
WhiteMatter;HDRFDST;MEAN;4.732834878738626
WhiteMatter;HDRFDST;STD;0.7073005093983304
