LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.40231074056918315
Amygdala;DICE;STD;0.06715001883361936
Amygdala;HDRFDST;MEAN;14.081313930376334
Amygdala;HDRFDST;STD;1.488824366468166
GreyMatter;DICE;MEAN;0.39992061191376066
GreyMatter;DICE;STD;0.016711260393165953
GreyMatter;HDRFDST;MEAN;4.13659603366726
GreyMatter;HDRFDST;STD;1.0433471398572458
Hippocampus;DICE;MEAN;0.3723956839892402
Hippocampus;DICE;STD;0.030968916652635858
Hippocampus;HDRFDST;MEAN;16.103350329167824
Hippocampus;HDRFDST;STD;1.8116589568929626
Thalamus;DICE;MEAN;0.6871468491176078
Thalamus;DICE;STD;0.02987394770274927
Thalamus;HDRFDST;MEAN;22.4707650098156
Thalamus;HDRFDST;STD;8.12802066149237
WhiteMatter;DICE;MEAN;0.6565416993857489
WhiteMatter;DICE;STD;0.06258888051732305
WhiteMatter;HDRFDST;MEAN;4.970382539948663
WhiteMatter;HDRFDST;STD;1.0465645735326048
