LABEL;METRIC;STATISTIC;VALUE
Amygdala;DICE;MEAN;0.4146625570979012
Amygdala;DICE;STD;0.046405283856332386
Amygdala;HDRFDST;MEAN;16.72034654853103
Amygdala;HDRFDST;STD;3.6510287998078463
GreyMatter;DICE;MEAN;0.40982479087476464
GreyMatter;DICE;STD;0.018764792004505426
GreyMatter;HDRFDST;MEAN;3.719080293685276
GreyMatter;HDRFDST;STD;0.6069940437284679
Hippocampus;DICE;MEAN;0.37400957452061434
Hippocampus;DICE;STD;0.028101579933185
Hippocampus;HDRFDST;MEAN;15.413279904778353
Hippocampus;HDRFDST;STD;1.3155997024003123
Thalamus;DICE;MEAN;0.6722538109808147
Thalamus;DICE;STD;0.03250854077153416
Thalamus;HDRFDST;MEAN;24.12187138291455
Thalamus;HDRFDST;STD;3.8646243007733947
WhiteMatter;DICE;MEAN;0.659829793475153
WhiteMatter;DICE;STD;0.028459819258031788
WhiteMatter;HDRFDST;MEAN;5.17921514405643
WhiteMatter;HDRFDST;STD;0.27519173602514274
